,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,country_residence,country_company
0,2024,Intermediate,FT,Data Engineer,138000,USD,138000,US,0,US,M,United States of America,United States of America
1,2024,Intermediate,FT,Data Engineer,86000,USD,86000,US,0,US,M,United States of America,United States of America
2,2024,Entry Level / Junior,FT,Data Analyst,179000,USD,179000,US,0,US,M,United States of America,United States of America
3,2024,Entry Level / Junior,FT,Data Analyst,112000,USD,112000,US,0,US,M,United States of America,United States of America
4,2024,Intermediate,FT,BI Developer,92000,USD,92000,US,0,US,M,United States of America,United States of America
5,2024,Intermediate,FT,BI Developer,80000,USD,80000,US,0,US,M,United States of America,United States of America
6,2024,Senior / Expert,FT,BI Developer,90000,USD,90000,US,100,US,M,United States of America,United States of America
7,2024,Senior / Expert,FT,BI Developer,70000,USD,70000,US,100,US,M,United States of America,United States of America
8,2024,Senior / Expert,FT,BI Analyst,127000,USD,127000,US,0,US,M,United States of America,United States of America
9,2024,Senior / Expert,FT,BI Analyst,72600,USD,72600,US,0,US,M,United States of America,United States of America
10,2024,Entry Level / Junior,FT,Data Developer,70000,USD,70000,US,100,US,M,United States of America,United States of America
11,2024,Entry Level / Junior,FT,Data Developer,50000,USD,50000,US,100,US,M,United States of America,United States of America
12,2024,Entry Level / Junior,FT,Data Analyst,83000,USD,83000,US,0,US,M,United States of America,United States of America
13,2024,Entry Level / Junior,FT,Data Analyst,71000,USD,71000,US,0,US,M,United States of America,United States of America
14,2024,Senior / Expert,FT,AI Architect,198650,USD,198650,US,0,US,M,United States of America,United States of America
15,2024,Senior / Expert,FT,AI Architect,137000,USD,137000,US,0,US,M,United States of America,United States of America
16,2024,Senior / Expert,FT,Data Architect,160000,USD,160000,US,0,US,M,United States of America,United States of America
17,2024,Senior / Expert,FT,Data Architect,100000,USD,100000,US,0,US,M,United States of America,United States of America
18,2024,Entry Level / Junior,FT,Data Analyst,92700,USD,92700,US,100,US,M,United States of America,United States of America
19,2024,Entry Level / Junior,FT,Data Analyst,64900,USD,64900,US,100,US,M,United States of America,United States of America
20,2024,Intermediate,FT,Data Scientist,166000,USD,166000,US,0,US,M,United States of America,United States of America
21,2024,Intermediate,FT,Data Scientist,73000,USD,73000,US,0,US,M,United States of America,United States of America
22,2024,Intermediate,FT,Data Analyst,81713,USD,81713,US,100,US,M,United States of America,United States of America
23,2024,Intermediate,FT,Data Analyst,48067,USD,48067,US,100,US,M,United States of America,United States of America
24,2024,Intermediate,FT,Machine Learning Engineer,179000,USD,179000,US,0,US,M,United States of America,United States of America
25,2024,Intermediate,FT,Machine Learning Engineer,112000,USD,112000,US,0,US,M,United States of America,United States of America
26,2024,Senior / Expert,FT,Data Scientist,111800,USD,111800,US,0,US,M,United States of America,United States of America
27,2024,Senior / Expert,FT,Data Scientist,68195,USD,68195,US,0,US,M,United States of America,United States of America
28,2024,Senior / Expert,FT,BI Analyst,132000,USD,132000,US,0,US,M,United States of America,United States of America
29,2024,Senior / Expert,FT,BI Analyst,82500,USD,82500,US,0,US,M,United States of America,United States of America
30,2024,Intermediate,FT,Research Engineer,140000,USD,140000,US,0,US,M,United States of America,United States of America
31,2024,Intermediate,FT,Research Engineer,100000,USD,100000,US,0,US,M,United States of America,United States of America
32,2024,Intermediate,FT,Data Analyst,85000,USD,85000,US,100,US,M,United States of America,United States of America
33,2024,Intermediate,FT,Data Analyst,61800,USD,61800,US,100,US,M,United States of America,United States of America
34,2024,Intermediate,FT,Data Analyst,129118,USD,129118,US,0,US,M,United States of America,United States of America
35,2024,Intermediate,FT,Data Analyst,86078,USD,86078,US,0,US,M,United States of America,United States of America
36,2024,Intermediate,FT,Data Scientist,97000,USD,97000,US,0,US,M,United States of America,United States of America
37,2024,Intermediate,FT,Data Scientist,62000,USD,62000,US,0,US,M,United States of America,United States of America
38,2024,Intermediate,FT,Data Science Manager,237000,USD,237000,US,100,US,M,United States of America,United States of America
39,2024,Intermediate,FT,Data Science Manager,201450,USD,201450,US,100,US,M,United States of America,United States of America
40,2024,Executive / Director,FT,Data Engineer,219650,USD,219650,US,100,US,M,United States of America,United States of America
41,2024,Executive / Director,FT,Data Engineer,136000,USD,136000,US,100,US,M,United States of America,United States of America
42,2024,Entry Level / Junior,FT,Data Analyst,92700,USD,92700,US,100,US,M,United States of America,United States of America
43,2024,Entry Level / Junior,FT,Data Analyst,64900,USD,64900,US,100,US,M,United States of America,United States of America
44,2024,Intermediate,FT,BI Developer,87800,USD,87800,US,0,US,M,United States of America,United States of America
45,2024,Intermediate,FT,BI Developer,76300,USD,76300,US,0,US,M,United States of America,United States of America
46,2024,Senior / Expert,FT,Research Engineer,97000,USD,97000,US,0,US,M,United States of America,United States of America
47,2024,Senior / Expert,FT,Research Engineer,62000,USD,62000,US,0,US,M,United States of America,United States of America
48,2024,Senior / Expert,FT,Machine Learning Engineer,253000,USD,253000,US,0,US,M,United States of America,United States of America
49,2024,Senior / Expert,FT,Machine Learning Engineer,187000,USD,187000,US,0,US,M,United States of America,United States of America
50,2024,Senior / Expert,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M,United States of America,United States of America
51,2024,Senior / Expert,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M,United States of America,United States of America
52,2024,Intermediate,FT,Data Engineer,184000,USD,184000,US,0,US,M,United States of America,United States of America
53,2024,Intermediate,FT,Data Engineer,123000,USD,123000,US,0,US,M,United States of America,United States of America
54,2024,Senior / Expert,FT,Data Scientist,245000,USD,245000,US,0,US,M,United States of America,United States of America
55,2024,Senior / Expert,FT,Data Scientist,180000,USD,180000,US,0,US,M,United States of America,United States of America
56,2024,Senior / Expert,FT,Data Engineer,184000,USD,184000,US,0,US,M,United States of America,United States of America
57,2024,Senior / Expert,FT,Data Engineer,123000,USD,123000,US,0,US,M,United States of America,United States of America
58,2024,Senior / Expert,FT,AI Architect,317000,USD,317000,US,0,US,M,United States of America,United States of America
